date,infected,all_infected,newly_infected,recovered,detected,all_detected,ratio_detected,hospitalized,icu,dead,r,percent_new_infected
2020-04-16,44420.0,89573.0,968.0,44953.0,4767.217857142857,9613.10232142857,0.10732142857142855,1021.66,204.332,1194.3066666666666,0.9412773253321903,0.010806707303458592
2020-04-17,43063.0,90544.0,971.0,47268.0,4680.537976190475,9841.270476190475,0.10869047619047617,990.449,198.0898,1207.2533333333333,0.9293570219966159,0.010723949417416754
2020-04-18,41681.0,91476.0,932.0,49570.0,4587.391011904761,10067.804999999998,0.11005952380952379,958.663,191.73260000000002,1219.68,0.8930412371134021,0.010188353356581435
2020-04-19,40441.0,92430.0,954.0,51755.0,4506.282857142856,10299.342857142856,0.1114285714285714,930.143,186.0286,1232.4,0.8500432152117545,0.010321212580194956
2020-04-20,39199.0,93367.0,937.0,53926.0,4421.553869047618,10531.575297619045,0.11279761904761902,901.577,180.3154,1244.8933333333334,0.850045578851413,0.010035558221232114
2020-04-21,37941.0,94238.0,871.0,56049.0,4331.597499999999,10758.838333333331,0.11416666666666664,872.643,174.5286,1256.5066666666667,0.9068379990821478,0.009242458005708888
2020-04-22,36648.0,95063.0,825.0,58160.0,4234.152857142856,10983.171607142855,0.11553571428571426,842.904,168.5808,1267.5066666666667,0.8318459370596524,0.008678364049482454
2020-04-23,35505.0,95926.0,863.0,60158.0,4150.70357142857,11214.206190476187,0.11690476190476187,816.615,163.323,1279.0133333333333,0.8437204910292729,0.008996424364360399
2020-04-24,34468.0,96819.0,893.0,62082.0,4076.6616666666655,11451.151964285711,0.11827380952380949,792.764,158.55280000000002,1290.92,0.8155533399800599,0.009223300970873786
2020-04-25,33439.0,97660.0,841.0,63944.0,4000.737499999999,11684.321428571426,0.1196428571428571,769.097,153.8194,1302.1333333333334,0.8098445595854922,0.008611421140475728
2020-04-26,32448.0,98447.0,787.0,65716.0,3926.5942857142845,11913.258988095235,0.12101190476190472,746.304,149.2608,1312.6266666666668,0.7748663101604278,0.007994067934340971
2020-04-27,31514.0,99288.0,841.0,67487.0,3856.7133333333322,12150.959999999995,0.12238095238095234,724.822,144.9644,1323.84,0.7671541057367829,0.008470223287574656
2020-04-28,30643.0,100126.0,838.0,69190.0,3792.0712499999986,12390.592499999995,0.12374999999999996,704.789,140.9578,1335.0133333333333,0.7954929577464789,0.008369370898958324
2020-04-29,29920.0,100961.0,835.0,70742.0,3743.5619047619034,12632.144166666661,0.12511904761904757,688.16,137.632,1346.1466666666668,0.7881802223522528,0.008270438382757869
2020-04-30,29225.0,101788.0,827.0,72256.0,3696.6145833333317,12874.970238095231,0.12648809523809518,672.175,134.435,1357.1733333333334,0.7824133504492939,0.008124650011297882
